"행정구역","2012년_총인구수","2012년_세대수","2012년_남자 인구수","2012년_여자 인구수"
"제주특별자치도  (5000000000)","583,713","232,141","292,213","291,500"
"제주특별자치도 제주시 (5011000000)","429,656","168,658","214,588","215,068"
"제주특별자치도 서귀포시 (5013000000)","154,057","63,483","77,625","76,432"
