"행정구역","2020년_총인구수","2020년_세대수","2020년_남자 인구수","2020년_여자 인구수"
"제주특별자치도  (5000000000)","674,635","302,033","338,609","336,026"
"제주특별자치도 제주시 (5011000000)","492,466","216,202","246,588","245,878"
"제주특별자치도 서귀포시 (5013000000)","182,169","85,831","92,021","90,148"
